sensor1,sensor2,sensor3,kneesensor
16,17,0,597
8,7,0,671
9,10,73,719
8,8,0,749
6,6,0,725
7,7,0,705
8,8,0,700
8,8,0,683
3,3,0,663
5,5,0,654
6,6,0,647
4,3,0,642
4,7,182,641
10,14,266,615
13,17,227,547
8,12,224,495
9,13,271,544
7,12,304,642
9,15,337,706
6,5,0,761
3,3,0,752
2,2,0,712
3,3,0,692
6,5,0,677
6,6,0,667
5,5,0,668
6,6,0,671
6,6,0,687
6,6,0,708
7,7,0,718
8,8,0,718
9,9,0,718
11,14,179,706
12,15,209,677
12,16,253,719
15,20,292,733
12,17,328,729
10,10,0,692
10,9,0,632
9,9,0,628
9,9,0,621
7,7,0,610
6,6,0,604
5,5,0,610
4,4,0,637
5,7,172,656
9,13,225,643
10,13,193,573
8,11,219,551
8,11,257,632
8,12,297,725
10,15,336,791
11,16,367,812
7,7,0,788
4,4,0,771
5,5,0,746
5,5,0,704
4,4,0,689
3,4,0,677
2,2,0,652
0,0,0,618
1,4,259,602
3,7,294,595
7,11,262,562
7,11,271,523
7,11,304,592
7,12,328,696
7,13,354,772
8,14,384,807
6,6,0,796
5,5,0,769
6,5,0,716
6,6,0,684
5,5,0,662
3,3,0,614
1,1,0,593
7,7,0,599
8,12,267,605
18,21,255,560
11,15,261,511
10,14,281,576
8,13,312,680
9,15,351,759
9,15,383,805
7,7,0,778
4,4,0,736
5,4,0,676
4,4,0,641
4,4,0,610
3,3,0,593
4,4,0,594
0,2,267,610
2,2,0,619
2,2,0,645
3,3,0,709
2,2,0,728
2,2,0,755
2,3,118,779
0,0,0,787
0,0,0,764
0,0,0,699
1,1,0,673
4,4,0,648
8,8,0,619
9,9,0,599
7,7,0,603
6,6,0,628
3,3,0,651
5,6,58,644
7,9,105,621
8,11,204,670
8,12,252,735
9,14,297,784
7,12,338,818
3,3,0,822
3,3,0,820
2,2,0,796
1,1,0,791
1,1,0,786
1,1,0,786
1,1,0,784
2,2,0,773
3,3,0,743
3,4,118,688
4,6,182,635
5,8,222,609
7,10,240,605
7,11,250,600
7,11,261,596
6,10,267,601
6,10,301,653
6,10,324,720
6,11,349,761
3,6,168,777
10,9,0,775
14,23,598,783
11,20,539,780
8,8,24,785
7,7,0,796
7,7,0,791
6,6,0,786
5,5,0,779
5,5,0,770
16,26,622,767
18,30,697,765
10,10,0,764
6,5,0,771
8,7,0,788
6,6,0,783
11,11,0,780
11,11,0,759
6,6,0,758
5,6,21,753
9,11,153,734
5,5,0,743
4,4,0,733
8,14,433,718
10,16,432,674
9,15,448,675
9,15,463,683
8,15,473,688
5,5,0,673
5,5,0,631
7,7,0,597
7,7,0,573
7,7,0,552
3,3,0,541
5,5,0,558
5,5,0,581
6,6,0,611
8,12,275,625
8,12,272,597
8,12,271,577
8,13,284,617
9,14,320,691
10,16,370,753
9,15,398,785
7,14,430,791
5,5,0,775
5,4,0,735
3,3,0,689
3,3,0,637
3,3,0,598
3,3,0,568
2,2,0,569
0,0,0,601
1,1,0,625
2,14,826,634
5,19,1023,645
9,22,901,611
2,14,770,588
4,16,745,627
4,15,712,700
5,15,704,759
4,15,689,805
0,0,37,788
0,0,0,769
0,0,0,734
0,0,0,717
0,0,0,680
0,0,0,651
1,1,0,614
0,0,0,610
0,0,0,618
0,0,112,637
1,8,507,656
4,12,528,648
8,15,445,606
6,12,422,588
6,12,416,650
5,11,420,710
5,12,439,756
5,12,451,796
0,0,0,793
1,1,0,782
0,0,0,743
1,0,0,691
0,0,0,649
1,1,0,623
1,1,0,593
5,5,0,590
4,4,0,598
5,9,340,604
9,13,317,575
8,12,286,522
7,11,298,548
7,11,310,617
6,11,331,673
7,12,358,720
6,12,380,747
5,12,400,743
4,4,0,745
