sensor1,sensor2,sensor3,kneesensor
12,12,0,724
7,7,0,679
9,9,0,688
4,4,0,695
1,14,1023,693
5,6,47,666
9,9,0,539
8,7,0,510
8,9,73,649
8,9,34,781
12,12,0,757
6,6,0,700
8,9,0,703
6,6,0,693
0,0,50,693
6,8,61,657
7,6,0,530
7,7,0,524
8,11,199,676
7,11,227,797
7,7,0,735
1,1,1,689
2,2,0,699
7,12,340,707
5,12,445,707
14,16,138,651
13,15,98,533
12,11,0,540
13,16,180,704
12,16,219,790
12,11,0,720
11,11,0,704
11,11,0,706
7,18,699,706
13,30,989,704
19,31,710,623
14,23,554,513
14,22,493,551
14,23,536,720
13,22,530,789
12,12,0,739
9,9,0,700
10,10,0,726
6,10,288,761
5,17,898,731
20,31,642,624
15,25,653,509
14,24,598,546
15,26,678,712
13,23,619,796
9,9,0,688
8,8,0,673
12,11,0,688
10,23,894,709
5,18,1023,711
17,30,738,607
14,25,638,500
14,24,610,564
14,25,665,736
10,13,176,751
5,5,0,649
7,7,0,653
10,9,0,671
8,15,406,678
7,11,265,657
11,14,172,568
13,26,773,519
12,25,740,572
13,25,715,734
12,20,502,748
8,8,0,662
9,9,0,673
11,11,0,700
6,9,214,706
7,9,149,709
17,18,103,630
10,10,0,519
12,14,144,562
13,17,241,728
12,16,266,779
9,9,0,698
10,10,0,683
10,10,0,699
3,7,263,703
4,17,873,695
18,29,659,614
14,24,599,514
14,24,605,564
14,24,619,741
11,21,578,777
7,7,0,700
7,7,0,697
12,16,274,715
5,15,665,719
15,32,912,700
17,29,739,581
15,25,604,509
14,24,610,594
10,12,140,761
9,9,0,747
7,7,0,709
7,7,0,736
6,8,119,771
6,19,1023,771
16,40,833,699
16,27,678,536
15,26,621,515
14,25,639,632
14,25,649,792
9,9,0,726
7,7,0,702
9,9,0,706
13,22,551,749
14,31,1023,739
22,37,881,664
14,26,686,537
13,24,615,568
14,25,650,726
8,9,69,789
3,3,0,700
3,3,0,722
8,8,0,761
6,18,1023,783
10,25,912,729
16,28,737,591
14,25,640,513
14,25,660,592
14,26,671,788
9,9,0,761
7,7,0,689
9,9,0,718
11,15,355,764
11,23,1023,769
30,51,817,696
15,27,705,520
14,26,654,540
14,27,694,698
13,25,643,801
10,10,0,686
8,8,0,680
12,12,0,713
17,27,792,755
12,25,959,748
21,34,740,620
15,29,746,514
14,28,731,592
14,27,744,778
10,15,262,778
12,12,0,705
9,9,0,706
10,10,42,727
10,23,993,726
8,22,923,701
18,31,730,579
15,25,565,522
15,26,600,633
15,26,625,805
5,9,0,789
7,7,0,743
7,7,0,738
8,8,0,737
8,22,1023,741
6,22,995,733
21,36,798,659
14,27,713,503
13,25,664,588
13,26,673,735
12,24,650,812
10,10,0,750
6,6,0,717
6,6,0,721
7,7,0,718
6,19,919,719
5,19,856,701
15,27,708,590
13,23,617,533
11,23,635,635
11,23,630,783
9,9,0,746
2,2,0,687
3,3,0,692
7,7,0,692
6,20,987,683
1,16,982,682
17,30,734,587
12,23,642,503
11,22,618,554
11,23,671,723
9,21,613,781
4,4,0,677
5,5,0,695
7,14,522,711
4,18,1023,720
4,20,977,703
21,34,756,597
15,26,604,510
15,26,611,549
16,28,672,729
15,26,610,792
8,8,0,723
5,5,0,713
4,5,73,733
6,18,870,764
3,17,1023,756
25,38,718,667
14,24,617,542
13,22,559,569
14,24,624,715
12,22,607,798
9,9,0,717
8,8,0,720
10,10,0,728
11,15,288,765
10,12,156,760
12,12,35,717
11,14,180,572
10,13,186,547
11,15,237,656
10,16,303,781
9,9,0,716
5,5,0,668
12,25,755,694
11,26,874,729
12,28,980,729
13,23,584,688
16,26,584,612
15,24,518,584
15,24,539,628
14,24,538,691
14,23,543,725
10,10,0,712
8,8,0,690
9,9,0,698
10,10,0,714
10,9,0,723
9,9,0,728
9,9,0,731
9,8,0,736
9,9,0,737
15,31,837,736
15,31,895,731
15,30,854,721
14,27,691,711
15,26,633,686
14,25,604,681
14,25,595,702
14,24,580,739
13,24,590,757
7,6,0,761
9,15,335,738
9,15,313,731
9,21,696,720
12,27,1023,714
13,27,1023,714
12,25,1023,716
10,23,914,713
9,20,818,702
8,18,747,691
9,18,702,683
7,15,659,676
4,13,613,672
3,11,593,667
3,11,560,661
4,12,525,657
2,11,496,655
3,11,471,654
1,9,449,654
2,9,431,656
3,10,419,661
3,10,404,668
3,9,395,667
3,9,387,664
4,11,370,666
4,10,359,672
6,12,360,671
6,12,359,669
6,12,362,668
6,12,363,659
6,12,366,657
5,12,367,663
5,12,376,665
