sensor1,sensor2,sensor3,kneesensor
11,14,234,552
13,17,283,644
12,18,330,780
11,10,0,806
11,11,0,723
10,10,0,726
8,8,0,739
6,14,586,743
5,12,497,718
14,27,564,669
14,23,481,561
12,19,380,541
13,20,421,630
13,20,441,761
10,9,0,752
8,8,0,691
9,9,0,700
6,6,0,715
5,7,133,718
5,11,477,699
15,21,356,603
16,21,308,507
14,19,319,551
14,20,369,713
12,19,373,779
12,12,0,698
10,10,0,696
11,11,0,696
10,10,0,720
5,11,473,717
10,24,693,670
14,23,517,548
13,21,497,527
13,22,520,613
13,23,519,775
10,11,60,784
8,8,0,702
9,9,0,723
9,9,0,726
4,9,397,745
1,8,523,727
12,21,420,615
10,12,147,528
10,15,246,590
11,16,296,741
10,16,348,783
11,11,0,691
12,12,0,705
13,12,0,712
15,19,252,744
13,24,691,734
17,28,558,661
17,26,492,536
15,20,282,524
16,22,345,646
14,21,373,787
16,15,0,740
9,9,0,681
9,9,0,707
8,8,0,738
4,7,257,733
9,14,229,689
13,16,231,556
10,12,174,529
11,16,294,627
9,15,325,787
10,10,0,734
6,6,0,687
7,6,0,707
6,6,23,730
2,3,113,723
10,23,663,694
13,15,178,571
11,13,146,522
11,16,283,612
10,15,306,793
12,22,595,760
6,6,0,687
9,8,0,711
7,8,41,741
5,11,454,747
7,13,402,720
14,19,295,590
13,17,240,517
13,16,231,573
12,18,331,764
12,16,204,784
7,7,0,694
7,7,0,714
5,5,54,735
0,1,80,736
0,7,635,718
12,20,487,614
11,16,270,539
11,15,266,593
11,15,293,738
10,16,352,798
8,8,0,726
6,5,0,703
5,5,0,702
4,4,0,724
0,1,64,706
2,6,228,683
13,15,167,578
9,12,153,548
9,12,175,619
10,14,256,762
10,15,270,801
10,11,84,738
10,17,507,720
7,9,140,713
7,7,7,717
4,5,60,696
8,9,52,672
12,35,133,585
10,12,125,529
10,13,186,600
9,13,241,753
9,16,385,765
14,19,430,706
10,17,477,705
7,7,0,698
2,5,241,700
3,13,731,709
10,16,349,648
8,14,328,542
9,14,303,559
11,17,345,679
11,18,403,790
10,11,65,730
14,24,645,691
9,16,363,692
10,10,0,730
6,7,51,724
4,6,117,685
12,14,118,570
8,11,175,521
9,14,260,585
8,13,267,746
8,14,342,771
10,16,430,691
10,20,650,698
8,11,187,702
3,3,13,703
1,9,587,707
11,15,189,638
10,14,218,520
11,14,234,531
10,16,292,672
9,15,320,773
7,7,0,701
6,13,577,672
4,8,271,675
7,6,0,713
3,4,46,707
3,10,539,688
16,18,147,631
9,12,178,559
9,13,217,601
9,13,251,718
7,12,272,787
10,10,0,719
8,11,188,687
6,6,0,701
9,9,19,709
3,3,59,703
8,18,631,685
11,19,435,595
9,16,385,542
9,16,386,578
9,16,389,721
8,15,375,762
6,8,132,679
9,18,548,687
6,10,219,707
9,9,0,705
6,7,97,697
7,7,43,670
11,12,98,582
8,11,164,548
8,11,200,619
9,13,274,757
8,9,115,753
7,10,242,662
10,19,537,691
9,10,60,670
8,9,34,687
7,17,648,683
7,13,424,666
11,16,307,588
8,14,330,510
10,16,349,556
10,17,376,685
9,16,397,755
12,12,2,708
4,8,276,662
9,15,322,669
7,6,0,679
6,7,60,677
3,11,561,684
11,17,331,616
7,14,319,509
7,13,314,518
7,13,341,644
6,13,378,757
12,12,0,731
9,15,430,671
8,15,472,687
4,6,111,694
4,6,127,697
1,5,302,687
14,18,218,595
10,14,211,501
10,14,245,550
9,15,297,702
8,13,286,769
8,11,246,692
10,18,563,686
8,10,156,682
2,2,0,682
0,7,522,684
5,14,532,648
10,18,469,536
8,16,441,522
7,14,442,636
7,16,461,773
6,5,0,727
7,16,617,665
7,16,604,704
9,12,296,733
4,6,179,749
2,6,354,715
9,14,317,628
7,12,315,538
6,12,317,558
7,12,339,675
7,14,351,780
5,5,0,711
5,4,0,676
4,3,0,693
4,3,0,705
1,1,0,676
1,2,134,660
16,19,125,592
9,12,170,492
9,12,201,508
9,12,230,633
8,12,245,735
12,12,53,685
7,6,0,633
3,3,0,644
3,0,0,666
5,33,250,681
2,10,511,679
10,17,427,561
8,14,363,505
9,15,385,605
8,15,399,750
7,7,2,718
4,4,0,652
3,2,0,675
3,3,0,697
1,1,53,715
0,0,77,682
7,8,120,559
2,4,153,463
2,5,192,557
3,7,226,742
2,6,255,810
5,5,58,738
5,38,517,681
3,11,433,688
3,4,125,685
3,4,90,682
5,7,143,645
6,10,193,510
6,9,211,529
5,10,249,691
5,10,262,788
7,11,321,748
6,6,0,693
6,6,25,696
7,6,0,686
5,11,481,692
4,16,868,654
11,22,584,570
12,21,515,499
12,20,494,575
10,20,509,730
9,18,484,784
10,12,182,718
11,18,482,699
9,13,271,676
6,9,175,674
0,0,29,685
10,20,649,696
13,24,613,597
8,11,178,535
8,12,236,623
10,14,271,765
8,13,301,792
11,14,238,718
7,14,433,690
8,10,109,702
1,1,4,725
9,14,265,506
7,11,231,772
5,4,0,668
4,3,0,703
4,3,0,716
0,0,42,701
0,2,500,701
13,19,366,625
12,17,336,507
11,15,307,538
10,16,352,696
9,15,364,784
7,7,56,723
8,17,629,681
8,12,239,699
6,6,0,716
1,1,38,724
8,15,438,701
11,16,307,610
5,7,124,513
5,8,170,570
6,10,260,738
5,10,280,799
12,14,209,727
9,18,629,705
7,11,276,733
4,4,0,757
2,4,227,768
7,9,182,718
7,14,133,589
6,10,211,499
7,10,192,558
7,12,272,747
5,7,90,817
7,10,236,748
12,21,620,728
10,16,361,752
9,11,173,749
7,18,740,752
14,28,879,703
13,26,729,586
11,22,618,532
10,21,621,620
10,21,601,762
8,18,567,808
10,10,45,741
10,16,445,712
7,15,431,709
6,7,97,717
11,21,561,724
10,22,624,721
10,15,245,641
9,11,147,541
9,12,193,570
9,14,254,696
9,15,303,788
12,12,0,724
11,19,493,686
12,19,434,695
5,6,93,716
10,18,520,732
10,20,605,677
12,20,457,562
10,18,425,500
10,18,443,599
8,17,454,777
11,11,0,754
10,16,409,677
10,18,390,692
7,9,120,700
14,21,443,716
8,20,746,697
12,22,526,615
10,14,226,502
9,14,257,537
10,16,332,696
9,16,337,778
10,11,108,674
9,18,574,652
6,15,147,678
7,11,264,691
3,9,374,709
9,17,464,644
11,45,199,542
8,12,244,505
8,13,278,594
9,15,324,768
8,8,0,746
9,107,560,669
9,18,587,702
7,9,172,714
5,11,455,715
0,8,448,697
14,20,333,603
7,10,223,504
7,11,251,575
7,13,313,742
9,9,0,748
10,18,509,665
10,17,442,691
11,13,154,711
10,35,201,716
7,14,520,718
14,20,322,642
8,11,175,511
6,10,197,510
7,12,276,652
4,59,286,794
10,10,0,719
10,117,636,659
6,12,365,687
5,5,0,731
4,89,456,748
0,69,405,708
9,15,312,592
6,10,212,504
5,10,233,575
7,12,304,755
6,10,252,779
8,14,348,675
7,53,443,694
4,4,26,699
0,1,48,706
0,1,157,693
10,12,143,588
6,10,230,492
5,9,213,548
6,11,284,725
5,8,206,760
8,12,296,664
7,15,540,666
6,10,32,692
3,10,45,695
2,75,443,702
12,16,215,632
8,12,223,508
7,11,220,510
7,13,296,660
6,12,324,783
13,14,131,714
9,19,617,668
8,14,395,691
7,8,22,698
2,2,42,691
6,7,136,654
8,10,152,536
6,8,142,499
6,10,225,622
5,62,306,776
13,16,179,755
11,106,560,678
8,18,532,706
10,16,357,699
7,9,172,697
7,16,613,696
15,24,503,632
10,17,408,529
8,16,414,547
8,16,428,692
7,15,433,804
8,10,141,713
5,120,632,696
4,13,492,730
0,27,167,743
0,74,422,745
0,34,315,678
10,56,276,555
6,11,258,509
7,13,329,606
7,14,388,778
7,16,484,760
5,5,0,688
5,5,0,715
3,4,3,710
0,1,60,713
0,2,133,691
16,28,142,582
6,9,159,511
6,8,159,570
5,10,260,751
4,9,269,776
5,8,210,685
7,76,496,670
4,5,64,677
1,14,92,689
0,26,210,677
12,14,197,604
10,12,209,504
9,11,183,525
9,13,293,691
8,48,275,774
3,3,0,703
7,7,0,659
6,5,0,677
5,8,257,676
3,5,167,669
6,7,78,642
9,13,203,591
6,6,35,590
7,9,183,647
6,10,211,729
8,8,0,738
5,4,0,670
2,2,0,662
2,2,23,674
2,9,519,667
2,11,744,665
8,15,414,625
6,6,19,548
8,10,127,562
8,10,195,674
7,11,230,766
11,10,0,745
8,9,135,696
10,13,140,687
10,10,0,674
5,5,8,669
4,37,37,681
7,66,64,649
15,17,133,572
12,15,186,532
13,16,200,607
13,16,250,734
12,17,277,766
8,9,121,692
6,7,76,688
7,6,0,698
3,3,0,710
0,0,59,708
0,3,291,664
9,13,224,557
5,9,199,523
7,11,255,605
6,11,294,745
8,14,339,767
6,7,75,687
6,11,392,703
5,4,0,696
1,1,0,706
0,0,78,725
1,2,66,674
8,9,102,554
6,9,151,505
7,11,227,600
6,11,302,770
8,7,0,771
5,8,20,685
3,3,0,730
1,1,0,756
0,0,107,762
0,0,167,713
8,10,108,604
9,12,192,480
8,11,215,553
6,11,267,724
6,11,268,768
7,10,312,678
5,5,0,677
5,4,0,676
4,4,40,687
0,1,91,694
10,23,108,648
8,10,112,532
7,9,85,522
6,39,219,654
4,9,262,782
9,11,209,716
9,101,628,696
7,48,404,734
4,11,53,748
1,12,74,760
2,14,573,707
10,75,388,603
7,11,222,512
7,11,256,586
7,14,350,748
7,12,329,777
4,3,0,694
2,2,0,701
1,1,0,711
1,1,0,711
0,0,99,718
3,7,111,643
9,11,161,514
7,10,169,523
8,12,241,665
4,10,271,791
11,11,0,742
6,5,0,687
5,5,0,710
2,2,0,722
8,24,83,732
5,12,183,696
25,43,172,583
10,13,190,506
11,11,225,589
9,14,272,752
13,55,394,784
6,6,0,694
5,5,0,730
6,5,0,753
7,7,32,769
5,6,101,743
15,25,404,660
10,13,193,525
9,12,170,517
9,13,253,665
7,57,276,797
7,7,0,714
5,5,0,681
8,6,2,710
8,9,67,731
7,34,150,725
7,68,49,662
15,102,141,553
10,12,149,526
11,15,216,649
10,67,242,782
13,11,0,762
8,15,0,680
7,16,0,716
7,49,111,742
8,59,286,722
15,20,327,708
15,16,112,655
15,18,193,678
15,19,237,693
16,61,290,713
15,72,323,720
13,20,361,713
12,19,376,713
11,19,393,717
